2	фирма 2	500	3	700	2024-08-19 11:28:23.132
4	Фирма 4	900	7	900	2024-08-19 11:28:23.132
5	firm 55	950	3	900	2024-08-19 11:28:23.132
6	Фирма 6	1066	7	1066	2025-08-19 11:28:23.132
7	Фирма 7	1000	7	1000	2024-08-19 11:28:23.132
9	Фирма 8	3000	3	3000	2025-08-19 11:28:23.132
11	firm 2	3333	3	3333	2025-08-19 11:28:23.132
12	фирма 21	1222	3	1222	2025-08-19 11:28:23.132
13	Фирма 44	3333	7	3333	2025-08-19 11:28:23.132
15	firm 678	3333	3	3333	2025-11-19 11:28:23
14	firm 777	2222	3	2222	2026-03-19 11:28:23
